"Indicator","Region","Frequency","2021-M01","2021-M02","2021-M03","2021-M04","2021-M05","2021-M06","2021-M07","2021-M08","2021-M09","2021-M10","2021-M11","2021-M12","2022-M01"
"Migration population growth","Ukraine","Monthly","25966","60400","94382","124303","158414","197773","244653","291313","354833","399465","439948","476925","30955"
"Migration population growth","Avtonomna Respublika Krym","Monthly","","","","","","","","","","","","",""
"Migration population growth","Vinnytska","Monthly","986","2240","3333","4316","5302","6511","8174","9616","12252","13821","15114","16268","1312"
"Migration population growth","Volynska","Monthly","673","1538","2492","3199","3900","4787","5959","7300","8642","9739","10619","11487","800"
"Migration population growth","Dnipropetrovska","Monthly","1624","3757","6155","8234","10121","12551","15555","18484","22509","25039","27722","30109","2264"
"Migration population growth","Donetska","Monthly","894","1991","3076","4108","5100","6387","8144","9568","11450","12656","13861","15119","992"
"Migration population growth","Zhytomyrska","Monthly","913","2111","3231","4355","5446","6909","8735","10365","12554","14166","15474","16620","920"
"Migration population growth","Zakarpatska","Monthly","384","1021","1529","1977","2553","3176","3597","4208","4978","5551","6144","6700","537"
"Migration population growth","Zaporizka","Monthly","738","1763","2873","3809","4664","5764","7149","8396","10064","11173","12291","13302","782"
"Migration population growth","Ivano-Frankivska","Monthly","720","1759","2709","3549","4486","5612","7023","8874","11090","12398","13482","14499","862"
"Migration population growth","Kyivska","Monthly","2972","6986","9627","14338","19416","24475","30676","36189","42604","48146","53074","57336","4140"
"Migration population growth","Kirovohradska","Monthly","555","1160","1888","2542","3078","3903","4900","5713","6935","7755","8526","9238","661"
"Migration population growth","Luhanska","Monthly","314","712","1023","1436","1785","2328","3072","3619","4329","4829","5277","5722","380"
"Migration population growth","Lvivska","Monthly","1472","3232","5247","7026","8698","10750","13123","16115","20050","23128","25801","27940","1591"
"Migration population growth","Mykolaivska","Monthly","544","1305","2062","2725","3380","4178","5218","6125","7347","8234","9027","9800","658"
"Migration population growth","Odeska","Monthly","1768","3891","6233","8458","10496","12743","15341","18200","21589","24696","27891","30819","2129"
"Migration population growth","Poltavska","Monthly","1144","2510","4110","5412","6786","8729","10958","12921","15236","17005","18708","20296","1163"
"Migration population growth","Rivnenska","Monthly","858","1910","3096","4007","4903","6194","7890","9285","12023","13534","14580","15656","885"
"Migration population growth","Sumska","Monthly","814","1715","2699","3528","4272","5317","6702","8051","9735","10837","11865","12809","807"
"Migration population growth","Ternopilska","Monthly","839","1700","2668","3473","4411","5432","6783","8161","9418","10747","11764","12773","871"
"Migration population growth","Kharkivska","Monthly","2172","5215","8622","11828","14094","16921","20462","24632","32533","36171","39441","42521","2604"
"Migration population growth","Khersonska","Monthly","475","1091","1805","2442","2988","3807","4765","5664","6641","7405","8094","8729","521"
"Migration population growth","Khmelnytska","Monthly","1074","2297","3681","4639","5781","7231","9154","10893","12791","14238","15571","16717","990"
"Migration population growth","Cherkaska","Monthly","847","1801","2981","4037","5089","6446","7987","9498","11025","12262","13502","14531","913"
"Migration population growth","Chernivetska","Monthly","582","1272","1868","2420","2863","3429","4145","4908","5773","6402","7037","7713","602"
"Migration population growth","Chernihivska","Monthly","659","1388","2347","3029","3777","4837","6009","7171","8402","9396","10310","11073","563"
"Migration population growth","Kyiv","Monthly","1945","6035","9027","9416","15025","19356","23132","27357","34863","40137","44773","49148","3008"
"Migration population growth","Sevastopol","Monthly","","","","","","","","","","","","",""
