,region,migration
0,Ukraine,223025.38461538462
2,Vinnytska,7634.2307692307695
3,Volynska,5471.923076923077
4,Dnipropetrovska,14163.384615384615
5,Donetska,7180.461538461538
6,Zhytomyrska,7830.692307692308
7,Zakarpatska,3258.076923076923
8,Zaporizka,6366.7692307692305
9,Ivano-Frankivska,6697.153846153846
10,Kyivska,26921.46153846154
11,Kirovohradska,4373.384615384615
12,Luhanska,2678.923076923077
13,Lvivska,12628.692307692309
14,Mykolaivska,4661.7692307692305
15,Odeska,14173.384615384615
16,Poltavska,9613.692307692309
17,Rivnenska,7293.923076923077
18,Sumska,6088.538461538462
19,Ternopilska,6080.0
20,Kharkivska,19785.846153846152
21,Khersonska,4186.692307692308
22,Khmelnytska,8081.307692307692
23,Cherkaska,6993.7692307692305
24,Chernivetska,3770.3076923076924
25,Chernihivska,5304.692307692308
26,Kyiv,21786.30769230769
